language,questions,lg0,lg1,lg2,lg3,lg4,lg5,lg6
English,WH,116.0551744452915,-15.436987911666131,-34.65314477059522,21.605101998350722,-31.474165047623604,15.228625901939562,-9.580282871676248
English,Y/N,119.90370492690914,-10.782847434532972,-22.55849288716737,28.061636877322925,-41.21003520043876,9.898522845504237,-21.80243882433893
Mandarin,WH,115.35483722167578,-15.6585505354624,-22.281549581008587,11.435643865870368,-28.98578218013953,8.0161780687545,-19.969281971216375
Mandarin,Y/N,113.07639279277845,-14.245831431783364,-11.523809209176864,20.10170563611055,-36.669358545810084,14.400172466354544,-26.467268008336852
