language,questions,lg0,lg1,lg2,lg3,lg4,lg5,lg6
English,WH,33.89523166372799,41.21653624240704,46.273252373337414,49.75773898352821,46.88632602636762,50.83881047609541,54.4167639805774
English,Y/N,34.14944344987911,40.8197974107611,48.94275632056274,50.16423267850824,51.14238916624335,55.42678707344293,54.589061790616924
Mandarin,WH,35.73908142543031,42.09608987831993,45.78570742404379,49.85278154911077,52.514880664693536,54.33359828145225,50.81233698796728
Mandarin,Y/N,36.347830956508666,33.45270282182046,40.492312317205034,44.91476988982067,48.05278537029098,48.67963305530425,47.64630007590539
